P30615	Pyruvate kinase 1
Q5SI58	PurS
P9WN23	Hemoglobin like protein HbO
P9WN25	Hemoglobin like protein HbN
P72077	UPF0341 protein in rsp 3' region
A0QWN3	Aspartate tRNA ligase
A0A140UH28	CARBOHYDRATE BINDING MODULE
Q16LC3	Sterol Carrier Protein 2 like 3
A0A0K0XHU0	Isochorismatase
Q7SIA0	Phosphomethylpyrimidine Kinase
Q7SIA3	NITROUS OXIDE REDUCTASE
Q7SIA2	tRNA synthetase
Q7SIA5	CARBOXYLESTERASE
Q7SIA4	CYTOCHROME CH
Q8DIT2	Ycf54 protein
Q7SIA9	Nucleoside diphosphate kinase
Q0P9C4	Protein glycosylation K
Q8IZP6	Zinc finger protein 183 like 1
P68696	Profilin 1A
P68693	dTMP kinase
D6PZY5	RNA BINDING GLYCINE RICH PROTEIN
Q05209	Protein tyrosine phosphatase G1
P68699	F type ATPase subunit c
P68698	Late protein H6
Q8L3C8	QUINONE OXIDOREDUCTASE
A0A0H2V9Q5	Starvation sensing protein rspB
Q8L3C7	L glutamate oxidase
P39107	M Pol II subunit MNN9
Q69UI1	40S ribosomal protein S13
Q2YYQ3	50S ribosomal protein L16
Q8GSD2	lectin PAL
Q2YYQ1	50S ribosomal protein L22
G1C794	Penicillin binding protein 1a
Q4DB26	60S ribosomal protein L34
Q13467	Frizzled 5
P32816	Glycerol dehydrogenase
Q13464	Rho associated protein kinase 1
F1RGG1	Ribosomal protein eS19
Q13469	NFAT pre existing subunit
Q8GGP6	Putative enoyl CoA hydratase
D8IZU6	protein Hfq
Q45071	Endo 14 beta xylanase
Q45070	Glucuronoxylanase XynC
A4ISU9	Carbon storage regulator homolog
A0A0E0TGM2	UvrABC system protein B
W5P642	COMPLEX III SUBUNIT 7 14KDA
K4P132	N methyltransferase
Q9KHK2	FAD dependent oxygenase EncM
P48775	Tryptophanase
P36959	GMP reductase I
Q8GME8	ACP polyene thioesterase
P36955	EPC 1
A0A0F6AW83	Conjugative transfer: regulation
Q8GME2	Oxidoreductase
P36952	Maspin
Q9NY33	Dipeptidyl arylamidase III
Q392K7	4 oxalocrotonate tautomerase
G3XDA8	Phosphate binding protein
Q5ZAJ0	NADPH oxidase RBOHB
Q02MM2	Csy4 ENDORIBONUCLEASE
Q8DQA6	Putative uncharacterized protein
Q9UR30	EPOXIDE HYDROLASE
B9PMU7	Ribosomal protein uS17
Q9SPD4	25 kDa protein elicitor
A9CB85	Hexon interlacing protein LH3
P60992	Heteroscodratoxin 1
Q9SMD1	Small ubiquitin related modifier
P60994	Ervatamin B
Q9NV88	Integrator complex subunit 9
P22829	Orphan nuclear receptor NR4A1
Q12737	Bilirubin oxidase
A0A0H2WZY4	Ribokinase
P16304	ATP:AMP phosphotransferase
Q739M5	Spore coat protein H
G0RYC6#G0SDW4	null#null
Q8PHQ1	Nitrate transport protein
G2QES5#G2QEZ2	null#null
A4IMB4	Site determining protein
Q739M9	Fosfomycin resistance protein
D0K9R6	Glyoxalase family protein
A6ZNQ1	ATP dependent RNA helicase DBP5
Q837A3	Folate ECF transporter
Q3D8N4	Lipoate protein ligase A
A0A0H3LT39	mandelate racemase
W8TRD5	50S ribosomal protein L24
Q5H7J4	Non structural protein 1
Q72SM7	LipL32
B3DH80	Cyp17a1 protein
A9CHM9	Aminoacyl carrier protein
C9QXL3	DNA binding protein fis
Q9H6S0	YTH domain containing protein 2
Q7SXR4	LSM14A PROTEIN
Q82Z74	Lipoprotein YaeC family
Q8A090	Putative uncharacterized protein
P58738	Expansin B1
M1PKZ3	Putative phage lysin
P02407	RP51A
P50120	retinol binding protein 2
Q5ZYP6	Elongation factor G
P02400	SDDDMG peptide
Q99ZN4	Sortase A
P56601	Protoporphyrinogen oxidase
E9PR30	40S ribosomal protein S30
Q81MQ0	CBS domain protein
Q55793	Probable cysteine desulfurase
Q59232	Cel5
P51659	Multifunctional protein 2
B0VAD0	Uncharacterized protein
A0A0E1CQ35	Fosfomycin resistance protein
Q7ZAG8	Sulfide quinone reductase
Q9Y6Q9	Nuclear Receptor coactivator
Q9Y6Q6	Receptor activator of NF KB
P07954	Fumarate hydratase mitochondrial
A7V185	hypothetical protein
Q1K8B6	polysaccharide monooxygenase 2
P34081	HNH homing endonuclease I HmuI
P34087	B16
Q96IV0	Peptide N glycanase HOMOLOG
Q91XX3	MCG133388 isoform CRA_y
P23065	Non structural protein 2
P24289	Endonuclease P1
Q9ZF99	PROTEIN Malate dehydrogenase
Q8WYN0	Cysteine protease ATG4A
G0SAK8	PAN2
Q92R45	ArsH
P27958	Ns4a peptide
Q6FVW6	Kinesin like protein
P55957	p22 BID
Q1J1N6	DNA damage response protein B
Q9X4C9	Replicative DNA helicase
Q9X2A8	DIGUANYLATE CYCLASE
O33272	Disulfide oxidoreductase
G0XNW5	Tail fiber protein
O89049	Thioredoxin reductase 1
Q3JVB1	ATP:AMP phosphotransferase
Q91XX9	Protocadherin gamma A9
O75928	DAB2 interacting protein
P08170	lipoxygenase 1
P08171	Esterase 6
P23395	Methionine tRNA ligase
P23394	Helicase CA8
P08174	decay accelerating factor
P23396	ribosomal protein US3
F0K5D8	Acetyl CoA acetyltransferase
P08178	AIRS
P08179	GAR transformylase
O75925	Gu binding protein
O88508	DNA methyltransferase MmuIIIA
O88509	DNA methyltransferase MmuIIIB
P27482	Calmodulin related protein NB 1
P27485	retinol binding protein
P27487	Dipeptidyl peptidase
Q72L76	50S ribosomal protein L20
Q7A441	MPT synthase subunit 1
Q9UKN5	PR domain zinc finger protein 4
P34629	Leucine aminopeptidase 1
Q8KAL8	Hypothetical protein
Q38814	Thiazole biosynthetic enzyme
G0QG75	Bacteriorhodopsin
A0A0M3KL51	FIMBRIAE
Q9M5J1	Fatty acid alpha oxidase
Q62425	dEV8
Q62424	Homeobox protein Hox 1.10
Q2YAJ6	Phage integrase
A2T3T2	Outer capsid protein VP4
Q62420	SH3p4
D3QYD6	50S ribosomal protein L31
G5EF60	Stromal interaction molecule 1
Q2T7I5	Citrate synthase
Q93IS4	Putative cytoplasmic protein
Q8CH02	Splicing factor 4
P32664	NADH pyrophosphatase
Q9X5C9	shikimate dehydrogenase
Q93RE7	Rhamnosidase B
P0A7V8	30S ribosomal protein S4
O33897	CELLULASE
P0A7V0	30S ribosomal subunit protein S2
P0A7V3	30S ribosomal subunit protein S3
P0A7V4	30S ribosomal protein S3
M9MMP3	Cathelicidin PY
P0A7V7	30S ribosomal protein S3
P21507	ATP dependent RNA helicase SrmB
P21505	Homing endonuclease I DmoI
B0VKR7	Histidyl tRNA synthetase
P24752	T2
A2EXW7	Ribosomal protein L36e putative
Q9JZ10	Putative uncharacterized protein
Q7AKG9	RNA polymerase sigma R factor
Q8WQM6	DNA topoisomerase I like protein
O86033	Glycerokinase
O86034	3 hydroxybutyrate dehydrogenase
P86352	Seed lectin alpha chain
P86353	lectin beta chain
Q9TY95	p126
P9WMW9	Putative uncharacterized protein
Q0GF90	FIBER KNOB DOMAIN
Q2YXP3	30S ribosomal protein S15
O13978	Autophagy related protein 101
A0A0B5KGV8	MGS M1
Q9IJQ0	Envelope glycoprotein gp41
C3SR02	50S ribosomal protein L5
Q9BXT8	RING finger protein 17
M1C146	Autophagy related protein
P41340	Actin
O43405	COCH 5B2
Q5EE07	Disintegrin
Q6FU56	Nucleoporin NUP116
Q71LX4	Talin 2
Q58673	R 2 methylmalate dehydratase
G4LPN7	IMP 1 metallo beta lactamase
Q99T13	ABC transporter homolog
Q7M0J8	Antibiotic GE2270
Q9IVQ4	Capsid protein p24
Q9BJJ9	enoyl ACP reductase
Q84Y95	CAX interacting protein 1
Q6BCU6	Beta lactamase IMP 1
P41697	Bud site selection protein 6
C3T5M2	tRNA cmo5U34 methyltransferase
Q9FCA6	Biflaviolin synthase CYP158A2
Q96A49	Synapse associated protein 1
P9WGY5	Transcriptase subunit omega
P9WGY3	Oxaloacetate decarboxylase
Q9L6G5	TraC
Q9L6G4	SIALIDASE
Q0PW92	IL13
A0A1B4WMB5	Glutamate dehydrogenase
P81364	Concanavalin Ma
P80019	Phosphohexokinase
P80018	Globin C coelomic
Q9Z2F5	C terminal binding protein 3
P37747	UDP GALP mutase
P80017	HEMOGLOBIN CYANO MET
P37744	dTDP glucose pyrophosphorylase 1
Q9NBG9	Martentoxin
P30530	AXL oncogene
P30533	receptor associated protein
H2L2L6	Tt IPPase
O43242	Proteasome subunit p58
P23837	PhoQ histidine kinase
P23833	Protein SCO1 mitochondrial
P06463	HPV18E6 peptide
A0ACI9	Carboxyl transferase
Q64288	Olfactory marker protein
P06465	Protein E7
Q8L3X9	mtKAS
C4YFL7	Uncharacterized protein
Q81H14	UPF0145 protein BC_1012
A0A0H2USH8	PTS system IIB component
Q51006	MtrE protein
D0LZ73	encapsulated ferritin
P08943	Viscotoxin B
P81941	Pleruocidin
Q4DW38	40S ribosomal protein S24
P81947	Tubulin alpha 1B chain
Q97W02	DNA polymerase IV
A0A078JH28	O acyltransferase
P40565	U2 snRNP component IST3
Q0PBQ7	hypothetical protein Cj0248
P92506	Cytochrome b large subunit
Q1T6X8	Polyprotein 1ab
A2T1W7	Aldose reductase AKR4C7
O35031	Acylphosphate phosphohydrolase
A4GRE3	AceMIF
C9E3B4	AgI II
A0A0D5CVW2	Uncharacterized protein
O30207	Sep tRNA:Cys tRNA synthase 1
Q9HCE5	METTL14
D0VWY8	PcnA
D0VWY9	Tubulin beta chain
Q5RGW1	PlexinC1 Intracellular Region
D0VWY1	rRNA N glycosidase
D0VWY2	DING
D0VWY3	Polyketide oxygenase CabE
B2HLX2	Esterase LipW
D0VWY5	Glutathione amide reductase
D0VWY7	Alpha Glycerophosphate Oxidase
P84244	Histone H3.3
O76764	CALEXCITIN
C1EBN1	MsStt7d protein
P02391	protein ribosomal protein L6
P84243	Histone H3 peptide
P38291	RNases P MRP 15.8 kDa subunit
Q5JF22	S adenosylmethionine synthase
F1RRN2	MITORIBOSOMAL PROTEIN UL2M MRPL2
Q9P371	AMSH like protease sst2
Q9P376	CTD phosphatase fcp1
P31371	Fibroblast growth factor 9
Q8RPJ2	ChloroPhenol Reduction gene K
Q5VMP0	F box LRR repeat MAX2 homolog
P70375	Coagulation factor VII
P47037	DA box protein SMC3
O94219	Aryl alcohol oxidase
P47039	Kynurenine aminotransferase
P07412	Hemoglobin subunit beta A B
O53871	Putative acyltransferase Rv0859
B8X8Z0	Endoribonuclease ToxN
P53004	Biliverdin IX alpha reductase
Q9I317	Type III export protein PscE
P53008	Processing A glucosidase I
Q8ZQC8	Secreted effector protein sopD2
Q838C1	Lipoate protein ligase
Q838C3	hypothetical protein EF0647
Q9I310	MucR Phosphodiesterase
O54476	Staphylococcal enterotoxin K
P0DML2	Placental lactogen
Q9K9M4	BH2621 protein
Q16CN9	Geranyltranstransferase
P00829	ATP synthase beta CHAIN
Q86XP0	Cytosolic phospholipase A2 delta
Q720Y7	MEP cytidylyltransferase 2
P00825	ATP synthase beta CHAIN
Q832L2	Glyoxalase family protein
Q832L1	Hypothetical protein EF_2215
Q8DKP6	PHOTOSYSTEM I 4.8K protein
P0A031	Cell division protein FtsZ
Q5LIG1	Putative exported protein BF0290
Q6SJQ7	CMRF35 like molecule 1
O74825	RNA polymerase II subunit rpb4
Q05048	CF 1 50 kDa subunit
Q8Y8H6	LIPOTEICHOIC ACID SYNTHASE
Q8Y8H5	Cysteine protease
Q9JYL1	Hypothetical protein NMB1532
Q92625	Odin
D7RFJ3	Putative oxygenase
A8B2K2	Ribose 5 phosphate isomerase
Q8ZU79	5' nucleotidase SurE1
Q6C326	ATP synthase subunit alpha
Q9YDN4	Uncharacterized protein
Q63810	Calcineurin subunit B type 1
O60306	Intron binding protein aquarius
Q9VZS5	60S ribosomal protein L28
I1RH17	ALPHA L ARABINOFURANOSIDASE
Q05599	Adenosylcobinamide kinase
E2QRA0	Thiosulfate Sulfurtransferase
A1L0Z0	Mediator complex subunit 1
O34522	BsTrmB
Q9PLW0	3 IPM DH
Q69G21	Cathepsin L like protein
P03428	polymerase basic protein 2
P11309	pim 1 kinase
P11308	Transcriptional regulator ERG
F8RC03	Methionyl tRNA formyltransferase
P87123	RNA polymerase II subunit RPB11
P03421	Phosphoprotein
P03420	Fusion glycoprotein F2
P03422	Phosphoprotein
P14151	Leukocyte adhesion molecule 1
P11305	Protein Rev
D4HRL0	GH7 family protein
O95466	Formin like protein 1
Q8Y9N5	Shikimate dehydrogenase
Q8Y9N7	Lmo0488 protein
Q9DBL7	Bifunctional coenzyme A synthase
Q9JZZ4	Cold shock domain family protein
Q9VTZ0	CG10686 PA
P13530	C phycocyanin alpha chain
P97784	Cryptochrome 1
G1SQH0	uL24
Q8K1H1	PCTAIRE2 binding protein
P14489	Beta lactamase PSE 2
Q5NEQ0	Beta hydroxyacyl ACP dehydratase
P05708	Hexokinase type I
I0JWN7	Methanol dehydrogenase
P13538	skeletal muscle Myosin II
Q6AZB0	Brother of CDO
O52980	MtFK
Q6ZNA4	RING finger protein 111
P40955	Protein CSD3
P52732#Q15691	End binding protein 1
B1I9H6	Response regulator
P63316	cardiac N Troponin C
P97438	TREK 1 K+ channel subunit
A6KZB9	Serine acetyltransferase
Q5F7X0	Tryptophan tRNA ligase
Q5MJ70	Speedy protein A
Q02061	RNA polymerase II subunit RPB2
Q02060	CP22
Q02062	actI ORF2
Q8QXR6	Capsid protein VP1
P12653	Glutathione S transferase I
A0A0F9XM91	Beta glucosidase
P81006	L hydantoinase
A0JR48	Uncharacterized protein
Q9K129	FrpC operon protein
Q8DV82	PUTATIVE DEACETYLASE
O28823	pyruvate formate lyase 2
P0AF93	YJGF PROTEIN
U6NCW5	DNA polymerase III subunit beta
Q14974	Importin beta 1 subunit
O51189	Outer membrane protein Tpn50
P44096	UPF0234 protein HI_1034
P44093	Hypothetical protein HI1011
Q8CWU3	HYALURONIDASE
P15358	Antistasin
O34994	Catabolite control protein N
Q9UPS6	SET domain containing protein 1B
P14350	Pr125Pol
O97102	Small ubiquitin related modifier
Q4FX34	Aspartate aminotransferase
P10499	RBKI
P51094	Flavonol 3 O glucosyltransferase
I3XMW8	pX
P10493	Entactin
Q7BTX0	secretion chaperone
Q12634	T4HN reductase
Q8H7F6	CAX interacting protein 2
Q6T1X6	GDP 6 deoxy D mannose reductase
Q8BLQ9	Cell adhesion molecule 2
Q96WV5	coatomer Alpha subunit
O58376	Hypothetical protein PH0642
E2RN10	Beta 2 microglobulin
P61916	Epididymal secretory protein E1
D0BBJ1	Aminotransferase
O50580	Ketose 3 epimerase
Q6CKN2	Rna15
Q99K90	TAK1 binding protein 2
Q5Y4Y6	Gasdermin A3
P9WI99	Putative uncharacterized protein
A9CIQ1	Uncharacterized protein Atu1735
P56373	ATP receptor
W0T1Y4	M28 protein
Q8NTG4	Cmt1
P0A2H7	3 ketoacyl CoA thiolase
Q9XAL8	Putative copper oxidase
B6YU74	ATP dependent protease Lon
Q9I4U9	Probable porin
A9CJW3	conserved hypothetical protein
A2FBZ2	40S ribosomal protein S27
P13214	Annexin 4
Q6UVM5	Sucrose hydrolase
Q0JMY8	Protein lectin like
P17917	Mutagen sensitive 209 protein
P01700#P0CG04	myeloma immunoglobulin D lambda
P78347	SRF Phox1 interacting protein
P78344	Death associated protein 5
S6C4R2	PERTUZUMAB FAB Heavy chain
Q10905	Cell death related nuclease 4
P20618	Proteasome subunit beta type 1
O08355	mannitol dehydrogenase
Q15366	Alpha CP2
Q3IWP3	aspartate aminotransferase
Q8EAX1	Hypothetical protein
Q15365	PolyrC binding protein 1
G0SDN1	Uncharacterized protein Spt16M
Q08L07	KlcA
Q9ICB7	25kDa structural protein VP25
O00762	Ubiquitin carrier protein C
Q2YCZ8	Phage integrase
Q41372	aquaporin
P78696	Hirsutellin A
R4GRU9	BEL beta trefoil
Q4YU79	Actin II
Q9HWG9	Flavin containing monooxygenase
P52013	Cyclophilin 5
P52011	Rotamase 3
P18771	Long tail fiber proximal subunit
Q9RN68	Nine heme cytochrome c
Q9RN64	SnoL
Q7DMN9	Calmodulin 5 6 7 8
P03420#Q38650	Fusion glycoprotein F0Fibritin
Q9RN61	SNOGD
Q0PB48	Group III truncated haemoglobin
R4P256	leucylaminopeptidase
P13285	Terminal protein
Q9RSJ5	50S ribosomal protein L17
Q382C4	60S ribosomal protein L18a
Q8ZRR1	Pantothenate synthetase
Q57913	Uncharacterized protein MJ0489
Q8IKM5	60S ribosomal protein L27
Q9UH03	Neuronal specific septin 3
Q9AL82	NikA protein
Q8YA56	Lmo0305 protein
Q9UWP5	50S ribosomal protein L10e
Q81U41	HIT family protein
Q9UWP7	Rubrerythrin
P26514	14 beta D xylan xylanohydrolase
P26515	Endo 14 beta xylanase B
P0CG50	Polyubiquitin C
P0CG56	Phospholipase A2 CB
P26512	Aspartate kinase
D2WFA0	Capsid protein VP4A
Q9ZEY1	INTERNALIN H
Q05905	Uncharacterized Protein YLR301W
Q83YM3	HopA1
A0QS96	30S ribosomal protein S12
E2V2U1	Hydratase ChsH2
Q9NYG5	Cyclosome subunit 11
P93343	14 3 3 C 1 protein
O43240	Kallikrein 10
Q8U4A7	V ATPase subunit F
Q2SZN7	Triosephosphate isomerase
B5Z9V7	Serine hydroxymethyltransferase
Q7MXM8	conserved hypothetical protein
Q99417	Associate of Myc 1
Q3MHR7	Arp2 3 complex 34 kDa subunit
Q6XK79	M157
A0A0Y5D4F5	Acyl CoA hydrolase
Q9BE39	Myosin heavy chain slow isoform
Q4Q1A3	TUBULIN BINDING COFACTOR C
P99999	Cytochrome c
P62942#Q5SLE7	Immunophilin FKBP12
Q9I3Z5	hypothetical protein PA1349
Q9I3Z1	hypothetical protein
Q9WZD3	Cysteine synthase
G9NTY1	Glucanase
C4Z938	DNA polymerase III subunit beta
Q9WZD5	TatD related deoxyribonuclease
P49302	VP1
P56817	Memapsin 2
A0A0E1S3N2	PUTATIVE reductase BURPS305_1051
Q584V0	Histidyl tRNA synthetase
Q8XBV0	Uncharacterized protein
V5VH20	LPS assembly lipoprotein LptE
C3W947	Transcriptional regulator CtsR
Q8SDT4	Phi ETA orf 56 like protein
Q8DKM0	Tll0839 protein
Q8DKM3	Photosystem II protein Y
Q8WS31	Erythrocyte binding antigen 140
P67870	Casein kinase II beta CHAIN
Q3UH93	Plexin D1
Q9V2L3	WALKER TYPE ATPASE
Q13342	Nuclear autoantigen Sp 140
P67876	Ribonuclease mitogillin
P63142	RAK
Q9KMW1	NH3 dependent NAD+ synthetase
P63146	Ubiquitin carrier protein B
Q9KIZ9	EpoB
B2ZAB4	Papain like cysteine protease
Q837R1	conserved hypothetical protein
Q5SJN0	uncharacterized protein
Q96FZ7	Chromatin modifying protein 6
Q96FZ2	SRAP domain containing protein 1
Q9WYJ7	Endodeoxyribonuclease IV
Q9WYJ5	MazG related protein
Q9P2F6	Rho GTPase activating protein 20
A4PIH9	Matrix protein 1
P00720#P47871	Lysozyme
Q8XAL6	Effector NleH2
Q8XAL7	Effector protein NleF
A0PRF8	Rubredoxin
Q8DES3	Transcription activator HlyU
P09981	Neurotoxin M9
D5MNX3	MOBA RELATE PROTEIN
Q8VP44	Cellobiose phosphorylase
D5MNX7	restriction endonuclease PacI
Q86FP9	THROMBIN INHIBITOR MADANIN 1
D5MNX8	HP0420 homologue
D5MNX9	HP0420 homologue
O04719	Protein phosphatase 2C 77
L0E155	Flavin dependent halogenase
Q97ZE1	Archaeal protein SSO6904
Q97ZE2	Uridine monophosphate kinase
Q97ZE3	Chromatin protein Cren7
P06709	Biotin operon repressor
Q87KW6	Sensor protein CpxA
P06703	S100A6
P06702	protein S100 A9
P06701	Silent information regulator 3
P06700	Silent information regulator 2
P06704	Cell division control protein 31
O59543	Rpp30
P0C8Y5	Defensin like protein 1
P22983	Pyruvate orthophosphate dikinase
A0A0A1EQY0	FDH
P37235	HLP2
Q9NW64	Pre mRNA splicing factor RBM22
I3LEJ9	MITORIBOSOMAL PROTEIN BS6M MRPS6
G0JFF6	PUTATIVE REDUCTASE YPZ3_3519
P42943	CCT eta
Q8JGG7	New Antigen Receptor Ancestral
Q96GX9	APAF1 interacting protein
P42766	60S ribosomal protein L35
P00323#P21554	P21554:
I1VWH9	ALPHA AMYLASE
Q8XZN3	dehalogenase like hydrolase
Q08999	pRb2
Q01813	Phosphohexokinase
Q01812	Glutamate receptor KA 1
Q9Y2Z0	Protein 40 6 3
Q9Y2Z4	Tyrosyl tRNA synthetase
Q8P8S1	Oligoribonuclease
F2WK69	EC869 CdiA CT
Q9NPH3	Interleukin 1 receptor 3
F0NEA3	Peroxiredoxin
Q03526	Kinase EMT
P09142	Non fluorescent flavoprotein
P09147	UDP galactose 4 epimerase
Q83LX4	LPS assembly lipoprotein LptE
P28805	ribosomal protein L33
Q6ZKC0	G box factor 14 3 3 homolog C
A7B4L9	hypothetical protein
O67069	tRNA nucleotidyltransferase
Q5SID9	PURINE NUCLEOSIDE PHOSPHORYLASE
P28807	ribosomal protein S16
P58502	Tk subtilisin
A0A0H3MQY4	Uncharacterized protein
P32718	D allose kinase
Q6CJ70	KLLA0F20922p
B8ZYW1	Nitrogen regulatory protein P II
O06825	LdtMt3
Q9JKD9	Testis zinc finger protein
Q9JKD8	T box transcription factor TBX21
Q811D0	Disks large homolog 1
Q9Y4P9	Sperm flagellar protein 1
Q9Y4P1	Cysteine protease ATG4B
Q74FS9	TrkA domain protein
Q8K4M9	Oxysterol binding protein
Q8RR56	KUMAMOLYSIN
Q8RR57	Small protein B SMPB
P0A8X2	Protein YceI
B3V224#Q08JP6	null#null
A0A0B4U8I5	Beta galactosidase
O75886	Hrs binding protein
O75884	B5T overexpressed gene protein
O75880	SCO1 Protein homolog
B9JK80	Oxidoreductase protein
A0R731	Putative uncharacterized protein
Q8J287	RPL28
Q8KRF6	beta galactosidase
Q93XJ9	Potato Ferredoxin I
Q09711	Calcium binding protein NCS 1
Q939Q9	PHB DEPOLYMERASE PHAZ7
Q68XJ3	Post proline cleaving enzyme
Q81XF6	Putative uncharacterized protein
Q87LT3	Z ring associated protein D
Q93NW7	AmphB
O75771	TRAD
Q27934	Protein phyllopod
Q6ISB3	Transcription factor CP2 like 3
Q62384	Zinc finger protein 259
C7R4I0	CHITINASE
P72940	Probable adenylyl sulfate kinase
Q99MD6	Thioredoxin reductase TR2
O49686	Putative uncharacterized Protein
P07896	Peroxisomal bifunctional enzyme
P07897	Aggrecan core protein
Q8EAC7	Cytochrome c 552
Q9UIS9	Methyl CpG binding protein MBD1
C4M760	Ubiquitin
O57917	glutaredoxin like protein
Q85825	Envelope glycoprotein v3 region
Q62651	dienoyl CoA isomerase
Q92EM7	Lin0431 protein
Q9F1K9	Photosystem II: Subunit PsbK
P0AEX9	MMBP
A0A0H2V6Y9	Hypothetical oxidoreductase yciK
C6A6W5	BETA GALACTOSIDASE
Q8WRF5	Superoxide dismutase [Cu Zn]
Q8NNA7	Disproportionating enzyme
P0A1S2	Histone like protein HLP II
A0A0B7LH44	Neuraminidase C
Q9LLQ3	PR10.2A
Q9LLQ2	PR10.2B
Q9UXT7	Pa Kae1
Q93DY9	Magnetosome protein MamA
Q8ZRI7	Putative acyltransferase
Q54HW9	MatA protein
Q6XVY0	MxiH
O15392	survivin
P07271	ATP dependent DNA helicase PIF1
P07273	DNA strand transferase 1
P07274	Profilin
P31946	14 3 3 protein beta alpha
P07276	DNA repair protein RAD2
O26253	NAD+ diphosphorylase
P80734	Superoxide dismutase [Ni]
P80735	Superoxide dismutase [Ni]
P31949	S100 calcium binding protein A11
P31948	Stress induced phosphoprotein 1
Q7CR52	Sigma factor binding protein Crl
Q7M3Y3	Troponin I
Q9AJS0	Cellulase
A0A140GKJ0	TAP transporter inhibitor ICP47
Q9BZ23	Pantothenic acid kinase 2
P69466	VP1
P36623	Phosphoglyceromutase
Q92FU1	Lin0012 protein
Q9BQ48	bL34m
Q9NYZ4	Sialoadhesin family member 2
A5Z9E1	Protein of unknown function
U5XBU0	Neuraminidase
P0ADZ0	50S ribosomal protein L23
P0ADZ7	UPF0092 membrane protein YajC
P0ADZ4	30S ribosomal protein S15
O55012#O70404	Endobrevin
A0A0J9X263	LpqH orthologue
P29563	Archaerhodopsin 2
Q9GSP3	GATA type transcription factor
A0A0J9X267	Hemagglutinin HA2 chain
P09936	PGP 9.5
Q53654	Collagen adhesin
Q5LE92	Fimbrial protein BF1861
P80192	Mixed lineage kinase 1
P80197	Actin fragmin kinase
P25924	Siroheme synthase
Q5ZSR0	Two component response regulator
Q9QXT8	Kv channel interacting protein 3
E6PBS8	40S RIBOSOMAL PROTEIN RPS10E
E6PBS9	40S RIBOSOMAL PROTEIN RPS11E
E6PBS0	40S RIBOSOMAL PROTEIN RPS2E
E6PBS1	40S RIBOSOMAL PROTEIN RPS3E
E6PBS2	40S ribosomal protein S4
E6PBS3	40S RIBOSOMAL PROTEIN RPS5E
E6PBS4	40S RIBOSOMAL PROTEIN S6
E6PBS5	40S RIBOSOMAL PROTEIN RPS7E
E6PBS6	40S ribosomal protein S8
E6PBS7	40S RIBOSOMAL PROTEIN RPS9E
A2DM33	60S ribosomal protein L29
C6VNC6	Pyruvate oxidase
P0AEY0#P42858	MMBP
Q8N2Z9	Centromere protein S
F6ZMI5	Uncharacterized protein
P0ABP9	Purine nucleoside phosphorylase
P0ABP8	Purine nucleoside phosphorylase
P94954	Methenyl H4MPT cyclohydrolase
Q06YR3	O methyltransferase
Q9HTN2	NAG kinase
Q9CIW0	DhaS coactivator DhaQ
P30709	Trypsin inhibitor A
Q5HH30	GCN5 related N acetyltransferase
Q187E7	Shikimate dehydrogenase NADP+
Q5HH38	NAPHTHOATE synthase
P39829	D Galactarate dehydratase
B5Z8H1	HopQ
Q4G1L2#Q9BXB1	G protein coupled receptor 48
O74910	Rik1 associated factor 1
P53508	CS6 pilin
P39825	Profilin
Q8U3D2	Argonaute
Q95RR6	CG1507 PB isoform B
P0DP29#P11799#Q9U6Y8	P11799:
Q4DV70	Thioredoxin like protein
Q95RR8	PAB1P dependent polyA nuclease
P02584	Profilin I
P02586	Troponin C skeletal muscle
Q8IEM3	60S ribosomal protein eL24
P02588	N Troponin C
G4V9S0	Adenylate kinase
M6R7K6	Bacterial Ig like domain group 2
P05129	Protein kinase C gamma type
P05122	Creatine kinase B chain
P05120	Monocyte Arg serpin
P05121	Serpin E1
Q9M593	Non symbiotic hemoglobin
Q8VDF2	Nuclear zinc finger protein Np95
P9WFV1	Leucine tRNA ligase
Q79CK7	COME
P9WFV9	Glutamate tRNA ligase
P9WKZ3	Uncharacterized protein Rv3404c
P9WKZ1	Type II alkyl sulfatase
P9WKZ0	Type II alkyl sulfatase
P03989	HUMAN LYMPHOCYTE antigen HLA B27
Q9VD99	Homeodomain containing protein
A0A023UGN9	Beta galactosidase
N0DKS8	Sodium pumping rhodopsin
Q9BRR9	Rho GTPase activating protein 9
Q7Z9M9	CIP1
Q7LIJ0	EXOGLUCANASE I
P02639	Protein S100 A1
P02638	S 100 protein beta chain
P02633	protein Calbindin D9k
P02632	Calbindin D9k
P02631	Parvalbumin beta
Q8U561	AGR_C_3712p
Q91H74	RNA HELICASE
Q72GV9	50S ribosomal protein L1
P01588	PROTEIN Erythropoietin
P0AA04	PHOSPHO HPr
B2H5R7	Methylisocitrate lyase
P0A910	Outer membrane protein A
P0A917	Outer membrane protein X
P0A915	Outer membrane protein W
O95983	Methyl CpG binding protein MBD3
Q9HBA0	Osm 9 like TRP channel 4
A0A0K2H586	Chromosome partition protein Smc
P43305	Parvalbumin thymic CPV3
A3EQP6	Putative aminomethyltransferase
P74396	Slr0280 protein
A3QGX4	ThiJ PfpI domain protein
G7CBN9	Citrulline aspartate ligase
P15530	B cell specific glycoprotein B29
P15531	Granzyme A activated DNase
Q8BX09	Retinoblastoma binding protein 5
